id	name	description
197	FUNCTION: DNA (cytosine-5-)-methyltransferase. cytosine 5-methyltransferase. cytosine DNA methylase. cytosine DNA methyltransferase. cytosine-specific DNA methyltransferase. deoxyribonucleate methylase. deoxyribonucleate methyltransferase. deoxyribonucleic (cytosine-5-)-methyltransferase. deoxyribonucleic acid (cytosine-5-)-methyltransferase. deoxyribonucleic acid methylase. deoxyribonucleic acid methyltransferase. deoxyribonucleic acid modification methylase. deoxyribonucleic methylase. DNA 5-cytosine methylase. DNA-cytosine 5-methylase. DNA cytosine C(5) methylase. DNA cytosine methylase. DNA-cytosine methyltransferase. DNA methylase. DNA methyltransferase. DNA transmethylase. methylphosphotriester-DNA methyltransferase. modification methylase. restriction-modification system. site-specific DNA-methyltransferase (cytosine-specific). Type II DNA methylase.	FUNCTION: DNA (cytosine-5-)-methyltransferase. cytosine 5-methyltransferase. cytosine DNA methylase. cytosine DNA methyltransferase. cytosine-specific DNA methyltransferase. deoxyribonucleate methylase. deoxyribonucleate methyltransferase. deoxyribonucleic (cytosine-5-)-methyltransferase. deoxyribonucleic acid (cytosine-5-)-methyltransferase. deoxyribonucleic acid methylase. deoxyribonucleic acid methyltransferase. deoxyribonucleic acid modification methylase. deoxyribonucleic methylase. DNA 5-cytosine methylase. DNA-cytosine 5-methylase. DNA cytosine C(5) methylase. DNA cytosine methylase. DNA-cytosine methyltransferase. DNA methylase. DNA methyltransferase. DNA transmethylase. methylphosphotriester-DNA methyltransferase. modification methylase. restriction-modification system. site-specific DNA-methyltransferase (cytosine-specific). Type II DNA methylase. See the REBASE database for a complete list of these enzymes: http://rebase.neb.com/rebase/ Formerly EC 2.1.1.73.
198	FUNCTION: endo-1,4-beta-xylanase. 	FUNCTION: endo-1,4-beta-xylanase.  
199	FUNCTION: catechol oxidase. diphenol oxidase. o-diphenolase. phenolase. polyphenol oxidase. tyrosinase.	FUNCTION: catechol oxidase. diphenol oxidase. o-diphenolase. phenolase. polyphenol oxidase. tyrosinase. A type 3 copper protein that catalyzes exclusively the oxidation of catechols (i.e., o-diphenols) to the corresponding o-quinones. The enzyme also acts on a variety of substituted catechols. It is different from tyrosinase, EC 1.14.18.1, which can catalyze both the monooxygenation of monophenols and the oxidation of catechols.
200	FUNCTION: tRNA pseudouridine(55) synthase. Psi(55) synthase. Psi(55) tRNA pseudouridine synthase. tRNA pseudouridine 55 synthase. tRNA Psi(55) synthase.	FUNCTION: tRNA pseudouridine(55) synthase. Psi(55) synthase. Psi(55) tRNA pseudouridine synthase. tRNA pseudouridine 55 synthase. tRNA Psi(55) synthase. Pseudourine synthase TruB from Escherichia coli specifically modifies uridine(55) in tRNA molecules. The bifunctional archaeal enzyme also catalyzes the pseudouridylation of uridine(54). It is not known whether the enzyme from Escherichia coli can also act on position 54 in vitro, since this position is occupied in E.coli tRNAs by thymine.
201	FUNCTION: Transferred entry: 7.1.1.9. 	FUNCTION: Transferred entry: 7.1.1.9.  
202	FUNCTION: protein O-GlcNAcase. glycoside hydrolase O-GlcNAcase. OGA. O-GlcNAcase. O-GlcNAc hydrolase.	FUNCTION: protein O-GlcNAcase. glycoside hydrolase O-GlcNAcase. OGA. O-GlcNAcase. O-GlcNAc hydrolase. Within higher eukaryotes post-translational modification of protein serines/threonines with N-acetylglucosamine (O-GlcNAc) is dynamic, inducible and abundant, regulating many cellular processes by interfering with protein phosphorylation. EC 2.4.1.155 transfers GlcNAc onto substrate proteins and EC 3.2.1.169 cleaves GlcNAc from the modified proteins.
203	FUNCTION: L-threonine 3-dehydrogenase. TDH.	FUNCTION: L-threonine 3-dehydrogenase. TDH. Acts in concert with EC 2.3.1.29 in the degradation of threonine to glycine. This threonine-degradation pathway is common to prokaryotic and eukaryotic cells and the two enzymes involved form a complex. In aqueous solution, the product L-2-amino-3-oxobutanoate can spontaneously decarboxylate to form aminoacetone.
204	FUNCTION: enoyl-CoA hydratase. enoyl hydrase. unsaturated acyl-CoA hydratase.	FUNCTION: enoyl-CoA hydratase. enoyl hydrase. unsaturated acyl-CoA hydratase. Acts in the reverse direction. With cis-compounds, yields (3R)-3-hydroxyacyl-CoA (cf. EC 4.2.1.74).
205	FUNCTION: cathepsin L. 	FUNCTION: cathepsin L.  A lysosomal enzyme that is readily inhibited by the diazomethane inhibitor Z-Phe-Phe-CHN2 or the epoxide inhibitor E-64. Belongs to peptidase family C1.
206	FUNCTION: RNA ligase (ATP). polyribonucleotide synthase (ATP). ribonucleic ligase.	FUNCTION: RNA ligase (ATP). polyribonucleotide synthase (ATP). ribonucleic ligase. The enzyme catalyzes the ligation of RNA strands with 3'-hydroxyl and 5'-phosphate termini, forming a phosphodiester and sealing certain types of single-strand breaks in RNA. Catalysis occurs by a three-step mechanism, starting with the activation of the enzyme by ATP, forming a phosphoramide bond between adenylate and a lysine residue. The adenylate group is then transferred to the 5'-phosphate terminus of the substrate, forming the capped structure 5'-(5'-diphosphoadenosine)-[RNA]. Finally, the enzyme catalyzes a nucleophilic attack of the 3'-OH terminus on the capped terminus, which results in formation of the phosphodiester bond and release of the adenylate.
207	FUNCTION: phosphoinositide phospholipase C. 1-phosphatidyl-D-myo-inositol-4,5-bisphosphate inositoltrisphosphohydrolase. 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase. monophosphatidylinositol phosphodiesterase. phosphatidylinositol phospholipase C. phosphoinositidase C. PI-PLC. triphosphoinositide phosphodiesterase.	FUNCTION: phosphoinositide phospholipase C. 1-phosphatidyl-D-myo-inositol-4,5-bisphosphate inositoltrisphosphohydrolase. 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase. monophosphatidylinositol phosphodiesterase. phosphatidylinositol phospholipase C. phosphoinositidase C. PI-PLC. triphosphoinositide phosphodiesterase. These enzymes form some of the cyclic phosphate Ins(cyclic 1,2)P(4,5)P2 as well as Ins(1,4,5)P3. They show activity toward phosphatidylinositol, i.e., the activity of EC 4.6.1.13 in vitro at high calcium concentration.
208	FUNCTION: trypsin. alpha-trypsin. beta-trypsin.	FUNCTION: trypsin. alpha-trypsin. beta-trypsin. Belongs to peptidase family S1. Formerly EC 3.4.4.4.
209	FUNCTION: acetyl-CoA C-acetyltransferase. acetoacetyl-CoA thiolase.	FUNCTION: acetyl-CoA C-acetyltransferase. acetoacetyl-CoA thiolase. The enzyme, found in both eukaryotes and prokaryotes, catalyzes the Claisen condensation of an acetyl-CoA and an acyl-CoA (often another acetyl-CoA), leading to the formation of an acyl-CoA that is longer by two carbon atoms. The reaction starts with the acylation of a nucleophilic cysteine at the active site, usually by acetyl-CoA but potentially by a different acyl-CoA, with concomitant release of CoA. In the second step the acyl group is transferred to an acetyl-CoA molecule. Cf. EC 2.3.1.16.
210	FUNCTION: poly(A)-specific ribonuclease. 	FUNCTION: poly(A)-specific ribonuclease.  Cleaves poly(A) in either the single- or double-stranded form.
211	FUNCTION: NAD(P)H dehydrogenase (quinone). azoreductase. dehydrogenase, reduced nicotinamide adenine dinucleotide (phosphate, quinone). diaphorase. DT-diaphorase. flavoprotein NAD(P)H-quinone reductase. menadione oxidoreductase. menadione reductase. NAD(P)H:(quinone-acceptor)oxidoreductase. NAD(P)H: menadione oxidoreductase. NAD(P)H2 dehydrogenase (quinone). NAD(P)H dehydrogenase. NAD(P)H menadione reductase. NAD(P)H-quinone dehydrogenase. NAD(P)H-quinone oxidoreductase. NADH-menadione reductase. naphthoquinone reductase. p-benzoquinone reductase. phylloquinone reductase. quinone reductase. reduced NAD(P)H dehydrogenase. reduced nicotinamide-adenine dinucleotide (phosphate) dehydrogenase. viologen accepting pyridine nucleotide oxidoreductase. vitamin K reductase. vitamin-K reductase.	FUNCTION: NAD(P)H dehydrogenase (quinone). azoreductase. dehydrogenase, reduced nicotinamide adenine dinucleotide (phosphate, quinone). diaphorase. DT-diaphorase. flavoprotein NAD(P)H-quinone reductase. menadione oxidoreductase. menadione reductase. NAD(P)H:(quinone-acceptor)oxidoreductase. NAD(P)H: menadione oxidoreductase. NAD(P)H2 dehydrogenase (quinone). NAD(P)H dehydrogenase. NAD(P)H menadione reductase. NAD(P)H-quinone dehydrogenase. NAD(P)H-quinone oxidoreductase. NADH-menadione reductase. naphthoquinone reductase. p-benzoquinone reductase. phylloquinone reductase. quinone reductase. reduced NAD(P)H dehydrogenase. reduced nicotinamide-adenine dinucleotide (phosphate) dehydrogenase. viologen accepting pyridine nucleotide oxidoreductase. vitamin K reductase. vitamin-K reductase. The enzyme catalyzes a two-electron reduction and has a preference for short-chain acceptor quinones, such as ubiquinone, benzoquinone, juglone and duroquinone. The animal, but not the plant, form of the enzyme is inhibited by dicoumarol. Formerly EC 1.6.99.2.
212	FUNCTION: beta-ketoacyl-[acyl-carrier-protein] synthase III. 3-ketoacyl-acyl carrier protein synthase III. 3-oxoacyl:ACP synthase III. beta-ketoacyl (acyl carrier protein) synthase III. beta-ketoacyl-ACP synthase III. beta-ketoacyl-acyl carrier protein synthase III. KASIII. KAS III.	FUNCTION: beta-ketoacyl-[acyl-carrier-protein] synthase III. 3-ketoacyl-acyl carrier protein synthase III. 3-oxoacyl:ACP synthase III. beta-ketoacyl (acyl carrier protein) synthase III. beta-ketoacyl-ACP synthase III. beta-ketoacyl-acyl carrier protein synthase III. KASIII. KAS III. The enzyme is responsible for initiating straight-chain fatty acid biosynthesis by the dissociated (or type II) fatty-acid biosynthesis system that occurs in plants and bacteria. In contrast to EC 2.3.1.41 and EC 2.3.1.179, this enzyme specifically uses short-chain acyl-CoA thioesters (preferably acetyl-CoA) rather than acyl-[acp] as its substrate. The enzyme can also catalyze the reaction of EC 2.3.1.38, but to a much lesser extent. The enzymes from some organisms (e.g. the Gram-positive bacterium Streptococcus pneumoniae) can accept branched-chain acyl-CoAs in addition to acetyl-CoA (cf. EC 2.3.1.300).
213	FUNCTION: serine-type D-Ala-D-Ala carboxypeptidase. D-alanyl-D-alanine carboxypeptidase. DD-peptidase. DD-transpeptidase.	FUNCTION: serine-type D-Ala-D-Ala carboxypeptidase. D-alanyl-D-alanine carboxypeptidase. DD-peptidase. DD-transpeptidase. A group of bacterial enzymes, membrane-bound. Inhibited by beta-lactam antibiotics, which acylate the active site serine in the enzyme. Distinct from EC 3.4.17.14. Belongs to peptidase families S11, S12 and S13.
214	FUNCTION: 16S rRNA (uracil(1498)-N(3))-methyltransferase. m(3)U(1498) specific methyltransferase.	FUNCTION: 16S rRNA (uracil(1498)-N(3))-methyltransferase. m(3)U(1498) specific methyltransferase. The enzyme specifically methylates uracil(1498) at N(3) in 16S rRNA.
215	FUNCTION: receptor protein-tyrosine kinase. receptor protein tyrosine kinase.	FUNCTION: receptor protein-tyrosine kinase. receptor protein tyrosine kinase. The receptor protein-tyrosine kinases, which can be defined as having a transmembrane domain, are a large and diverse multigene family found only in metazoans. In the human genome, 58 receptor-type protein-tyrosine kinases have been identified and these are distributed into 20 subfamilies. Formerly EC 2.7.1.112.
216	FUNCTION: adenylate cyclase. 3',5'-cyclic AMP synthetase. adenyl cyclase. adenylyl cyclase. ATP pyrophosphate-lyase.	FUNCTION: adenylate cyclase. 3',5'-cyclic AMP synthetase. adenyl cyclase. adenylyl cyclase. ATP pyrophosphate-lyase. Also acts on dATP to form 3',5'-cyclic dAMP. Requires pyruvate. Activated by NAD(+) in presence of EC 2.4.2.31.
217	FUNCTION: sulfate adenylyltransferase. ATP-sulfurylase. sulfate adenylate transferase. sulfurylase.	FUNCTION: sulfate adenylyltransferase. ATP-sulfurylase. sulfate adenylate transferase. sulfurylase. The human phosphoadenosine-phosphosulfate synthase (PAPS) system is a bifunctional enzyme: ATP sulfurylase, which catalyzes the formation of adenosine 5'-phosphosulfate (APS) from ATP and inorganic sulfate and the second step is catalyzed by the APS kinase portion of 3'-phosphoadenosine 5'-phosphosulfate (PAPS) synthase, which involves the formation of PAPS from enzyme bound APS and ATP. This is in contrast to what is found in bacteria, yeasts, fungi and plants, where the formation of PAPS is carried out by two individual polypeptides, EC 2.7.7.4 and EC 2.7.1.25.
218	FUNCTION: 6,7-dimethyl-8-ribityllumazine synthase. lumazine synthase.	FUNCTION: 6,7-dimethyl-8-ribityllumazine synthase. lumazine synthase. Involved in riboflavin biosynthesis.
219	FUNCTION: coagulation factor IXa. Christmas factor.	FUNCTION: coagulation factor IXa. Christmas factor. The proenzyme factor IX is activated by EC 3.4.21.27. Belongs to peptidase family S1.
220	FUNCTION: glutathione synthase. glutathione synthetase. GSH synthetase.	FUNCTION: glutathione synthase. glutathione synthetase. GSH synthetase. 
221	FUNCTION: purine nucleosidase. IAG-NH. IAG-nucleoside hydrolase. inosine-adenosine-guanosine preferring nucleoside hydrolase. N-D-ribosylpurine ribohydrolase. N-ribosyl purine ribohydrolase. nucleosidase. nucleosidase g. nucleoside hydrolase. purine beta-ribosidase. purine nucleoside hydrolase. purine ribonucleosidase. purine-specific nucleoside N-ribohydrolase. ribonucleoside hydrolase.	FUNCTION: purine nucleosidase. IAG-NH. IAG-nucleoside hydrolase. inosine-adenosine-guanosine preferring nucleoside hydrolase. N-D-ribosylpurine ribohydrolase. N-ribosyl purine ribohydrolase. nucleosidase. nucleosidase g. nucleoside hydrolase. purine beta-ribosidase. purine nucleoside hydrolase. purine ribonucleosidase. purine-specific nucleoside N-ribohydrolase. ribonucleoside hydrolase. The enzyme from the bacterium Ochrobactrum anthropi specifically catalyzes the irreversible N-riboside hydrolysis of purine nucleosides. Pyrimidine nucleosides, purine and pyrimidine nucleotides, NAD(+), NADP(+) and nicotinaminde mononucleotide are not substrates.
222	FUNCTION: phosphoglycerate kinase. 	FUNCTION: phosphoglycerate kinase.  
223	FUNCTION: signal peptidase I. bacterial leader peptidase I. phage-procoat-leader peptidase. SPase I.	FUNCTION: signal peptidase I. bacterial leader peptidase I. phage-procoat-leader peptidase. SPase I. Unaffected by inhibitors of most serine peptidases, but site-directed mutagenesis implicates a Ser/Lys catalytic dyad in activity. Cleaves a single bond -Ala-|-Ala- in M13 phage procoat protein, producing free signal peptide and coat protein. Eukaryote signal peptidases that may have somewhat different specificity are known from the endoplasmic reticulum membrane and mitochondrial inner membrane. Belongs to peptidase family S26. Formerly EC 3.4.99.36.
224	FUNCTION: D-alanine--D-alanine ligase. alanine:alanine ligase (ADP-forming). alanylalanine synthetase. D-Ala-D-Ala synthetase. D-alanylalanine synthetase. D-alanyl-D-alanine synthetase.	FUNCTION: D-alanine--D-alanine ligase. alanine:alanine ligase (ADP-forming). alanylalanine synthetase. D-Ala-D-Ala synthetase. D-alanylalanine synthetase. D-alanyl-D-alanine synthetase. Involved with EC 6.3.2.7 or EC 6.3.2.13, EC 6.3.2.8, EC 6.3.2.9 and EC 6.3.2.10 in the synthesis of a cell-wall peptide.
225	FUNCTION: rRNA N-glycosylase. rRNA N-glycosidase.	FUNCTION: rRNA N-glycosylase. rRNA N-glycosidase. Ricin A-chain and related toxins show this activity. Naked rRNA is attacked more slowly than rRNA in intact ribosomes. Naked rRNA from Escherichia coli is cleaved at a corresponding position.
226	FUNCTION: triose-phosphate isomerase. phosphotriose isomerase. triosephosphate isomerase. triosephosphate mutase. triose phosphoisomerase.	FUNCTION: triose-phosphate isomerase. phosphotriose isomerase. triosephosphate isomerase. triosephosphate mutase. triose phosphoisomerase. 
227	FUNCTION: adenylate kinase. adenylic kinase. adenylokinase. myokinase.	FUNCTION: adenylate kinase. adenylic kinase. adenylokinase. myokinase. Inorganic triphosphate can also act as donor.
228	FUNCTION: dual-specificity kinase. 	FUNCTION: dual-specificity kinase.  This family of enzymes can phosphorylate both Ser/Thr and Tyr residues. Formerly EC 2.7.1.37.
229	FUNCTION: pyrroline-5-carboxylate reductase. P5CR.	FUNCTION: pyrroline-5-carboxylate reductase. P5CR. Also reduces 1-pyrroline-3-hydroxy-5-carboxylate to L-hydroxyproline.
230	FUNCTION: beta-glucuronidase. 	FUNCTION: beta-glucuronidase.  
231	FUNCTION: endopeptidase La. ATP-dependent protease La. ATP-dependent serine proteinase.	FUNCTION: endopeptidase La. ATP-dependent protease La. ATP-dependent serine proteinase. ATP hydrolysis is linked with peptide bond hydrolysis. Vanadate inhibits both reactions. A similar enzyme occurs in animal mitochondria. Belongs to peptidase family S16.
232	FUNCTION: cytidine deaminase. (deoxy)cytidine deaminase. cytidine aminohydrolase. cytosine nucleoside deaminase.	FUNCTION: cytidine deaminase. (deoxy)cytidine deaminase. cytidine aminohydrolase. cytosine nucleoside deaminase. Catalyzes the deamination of cytidine and 2'-deoxycytidine with similar efficiencies. The enzyme, which is widely distributed among organisms, is involved in salvage of both exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis. Formerly EC 3.5.4.14.
233	FUNCTION: histidine kinase. histidine protein kinase. HK1. protein histidine kinase. protein kinase. protein kinase (histidine).	FUNCTION: histidine kinase. histidine protein kinase. HK1. protein histidine kinase. protein kinase. protein kinase (histidine). This entry has been included to accommodate those protein-histidine kinases for which the phosphorylation site has not been established (i.e. either the pros- or tele-nitrogen of histidine). A number of histones can act as acceptor.
234	FUNCTION: histidine--tRNA ligase. histidine translase. histidyl-tRNA synthetase.	FUNCTION: histidine--tRNA ligase. histidine translase. histidyl-tRNA synthetase. 
235	FUNCTION: IMP dehydrogenase. IMP oxidoreductase. inosinate dehydrogenase. inosine 5'-monophosphate dehydrogenase. inosine monophosphate oxidoreductase. inosinic acid dehydrogenase.	FUNCTION: IMP dehydrogenase. IMP oxidoreductase. inosinate dehydrogenase. inosine 5'-monophosphate dehydrogenase. inosine monophosphate oxidoreductase. inosinic acid dehydrogenase. The enzyme acts on the hydroxy group of the hydrated derivative of the substrate. Formerly EC 1.2.1.14.
236	FUNCTION: deoxyribose-phosphate aldolase. 2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase. deoxyriboaldolase. phosphodeoxyriboaldolase.	FUNCTION: deoxyribose-phosphate aldolase. 2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase. deoxyriboaldolase. phosphodeoxyriboaldolase. 
237	FUNCTION: phosphoribosylaminoimidazolesuccinocarboxamide synthase. 4-(N-succinocarboxamide)-5-aminoimidazole synthetase. 4-[(N-succinylamino)carbonyl]-5-aminoimidazole ribonucleotide synthetase. 5-aminoimidazole-4-N-succinocarboxamide ribonucleotide synthetase. phosphoribosylaminoimidazole-succinocarboxamide synthase. phosphoribosylaminoimidazolesuccinocarboxamide synthetase. phosphoribosylaminoimidazole-succinocarboxamide synthetase. SAICARs. SAICAR synthase. SAICAR synthetase.	FUNCTION: phosphoribosylaminoimidazolesuccinocarboxamide synthase. 4-(N-succinocarboxamide)-5-aminoimidazole synthetase. 4-[(N-succinylamino)carbonyl]-5-aminoimidazole ribonucleotide synthetase. 5-aminoimidazole-4-N-succinocarboxamide ribonucleotide synthetase. phosphoribosylaminoimidazole-succinocarboxamide synthase. phosphoribosylaminoimidazolesuccinocarboxamide synthetase. phosphoribosylaminoimidazole-succinocarboxamide synthetase. SAICARs. SAICAR synthase. SAICAR synthetase. Forms part of the purine biosynthesis pathway.
238	FUNCTION: thymidylate synthase. 	FUNCTION: thymidylate synthase.  
239	FUNCTION: triacylglycerol lipase. lipase. tributyrase. triglyceride lipase.	FUNCTION: triacylglycerol lipase. lipase. tributyrase. triglyceride lipase. The enzyme is found in diverse organisms including animals, plants, fungi, and bacteria. It hydrolyzes triglycerides into diglycerides and subsequently into monoglycerides and free fatty acids. The enzyme is highly soluble in water and acts at the surface of oil droplets. Access to the active site is controlled by the opening of a lid, which, when closed, hides the hydrophobic surface that surrounds the active site. The lid opens when the enzyme contacts an oil-water interface (interfacial activation). The pancreatic enzyme requires a protein cofactor, namely colipase, to counteract the inhibitory effects of bile salts.
240	FUNCTION: caspase-3. apopain. CASP-3. CPP32. yama protein.	FUNCTION: caspase-3. apopain. CASP-3. CPP32. yama protein. Caspase-3 is an effector/executioner caspase, as are caspase-6 (EC 3.4.22.59) and caspase-7 (EC 3.4.22.60). These caspases are responsible for the proteolysis of the majority of cellular polypeptides, [e.g. poly(ADP-ribose) polymerase (PARP)], which leads to the apoptotic phenotype. Procaspase-3 can be activated by caspase-1 (EC 3.4.22.36), caspase-8 (EC 3.4.22.61), caspase-9 (EC 3.4.22.62) and caspase-10 (EC 3.4.22.63) as well as by the serine protease granzyme B. Caspase-3 can activate procaspase-2 (EC 3.4.22.55). Activation occurs by inter-domain cleavage followed by removal of the N-terminal prodomain. While Asp-Glu-(Val/Ile)-Asp is thought to be the preferred cleavage sequence, the enzyme can accommodate different residues at P2 and P3 of the substrate. Like caspase-2, a hydrophobic residue at P5 of caspase-3 leads to more efficient hydrolysis, e.g. (Val/Leu)-Asp-Val-Ala-Asp-|- is a better substrate than Asp-Val-Ala-Asp-|-. This is not the case for caspase-7. Belongs to peptidase family C14.
241	FUNCTION: NAD(+) kinase. DPN kinase.	FUNCTION: NAD(+) kinase. DPN kinase. 
242	FUNCTION: nitric-oxide synthase (NADPH). endothelium-derived relaxation factor-forming enzyme. endothelium-derived relaxing factor synthase. NADPH-diaphorase. nitric-oxide synthetase. NO synthase.	FUNCTION: nitric-oxide synthase (NADPH). endothelium-derived relaxation factor-forming enzyme. endothelium-derived relaxing factor synthase. NADPH-diaphorase. nitric-oxide synthetase. NO synthase. The enzyme consists of linked oxygenase and reductase domains. The eukaryotic enzyme binds FAD, FMN, heme (iron protoporphyrin IX) and tetrahydrobiopterin, and its two domains are linked via a regulatory calmodulin-binding domain. Upon calcium-induced calmodulin binding, the reductase and oxygenase domains form a complex, allowing electrons to flow from NADPH via FAD and FMN to the active center. The reductase domain of the enzyme from the bacterium Sorangium cellulosum utilizes a [2Fe-2S] cluster to transfer the electrons from NADPH to the active center. Cf. EC 1.14.14.47.
243	FUNCTION: DNA helicase. 	FUNCTION: DNA helicase.  DNA helicases utilize the energy from ATP hydrolysis to unwind double-stranded DNA. Some of them unwind duplex DNA with a 3' to 5' polarity, other show 5' to 3' polarity or unwind DNA in both directions. Some helicases unwind DNA as well as RNA. May be identical with EC 3.6.4.13.
244	FUNCTION: chitinase. 1,4-beta-poly-N-acetylglucosaminidase. chitodextrinase. poly-beta-glucosaminidase.	FUNCTION: chitinase. 1,4-beta-poly-N-acetylglucosaminidase. chitodextrinase. poly-beta-glucosaminidase. The enzyme binds to chitin and randomly cleaves glycosidic linkages in chitin and chitodextrins in a non-processive mode, generating chitooligosaccharides and free ends on which exo-chitinases and exo- chitodextrinases can act. Activity is greatly stimulated in the presence of EC 1.14.99.53, which attacks the crystalline structure of chitin and makes the polymer more accesible to the chitinase. Cf. EC 3.2.1.202.
245	FUNCTION: N-acetylmuramoyl-L-alanine amidase. 	FUNCTION: N-acetylmuramoyl-L-alanine amidase.  Formerly EC 3.4.12.5, EC 3.4.17.7 and EC 3.4.19.10.
246	FUNCTION: nicotinate phosphoribosyltransferase. niacin ribonucleotidase. nicotinic acid mononucleotide glycohydrolase. nicotinic acid mononucleotide pyrophosphorylase. nicotinic acid phosphoribosyltransferase.	FUNCTION: nicotinate phosphoribosyltransferase. niacin ribonucleotidase. nicotinic acid mononucleotide glycohydrolase. nicotinic acid mononucleotide pyrophosphorylase. nicotinic acid phosphoribosyltransferase. The enzyme, which is involved in pyridine nucleotide recycling, can form beta-nicotinate D-ribonucleotide and diphosphate from nicotinate and 5-phospho-alpha-D-ribose 1-diphosphate (PRPP) in the absence of ATP. However, when ATP is available the enzyme is phosphorylated resulting in a much lower Km for nicotinate. The phospho-enzyme is hydrolyzed during the transferase reaction, regenerating the low affinity form. The presence of ATP shifts the products/substrates equilibrium from 0.67 to 1100. Formerly EC 2.4.2.11.
247	FUNCTION: RNA-directed DNA polymerase. DNA nucleotidyltransferase (RNA-directed). reverse transcriptase. revertase.	FUNCTION: RNA-directed DNA polymerase. DNA nucleotidyltransferase (RNA-directed). reverse transcriptase. revertase. Catalyzes RNA-template-directed extension of the 3'-end of a DNA strand by one deoxynucleotide at a time. Cannot initiate a chain de novo. Requires a RNA or DNA primer. DNA can also serve as template. See also EC 2.7.7.7.
248	FUNCTION: phosphoglycolate phosphatase. 	FUNCTION: phosphoglycolate phosphatase.  
249	FUNCTION: laccase. urishiol oxidase.	FUNCTION: laccase. urishiol oxidase. A group of multi-copper proteins of low specificity. Acts on both o- and p-quinols, and often acting also on aminophenols and phenylenediamine. The semiquinone may react further either enzymically or non- enzymically.
250	FUNCTION: 3-hydroxyacyl-CoA dehydrogenase. beta-hydroxyacyl dehydrogenase. beta-keto-reductase.	FUNCTION: 3-hydroxyacyl-CoA dehydrogenase. beta-hydroxyacyl dehydrogenase. beta-keto-reductase. Also oxidizes S-3-hydroxyacyl-N-acylthioethanolamine and S-3- hydroxyacylhydrolipoate. Some enzymes act, more slowly, with NADP(+). Broad specificity to acyl chain-length (cf. EC 1.1.1.211).
251	FUNCTION: aspartate carbamoyltransferase. aspartate transcarbamylase. ATCase. carbamoylaspartotranskinase.	FUNCTION: aspartate carbamoyltransferase. aspartate transcarbamylase. ATCase. carbamoylaspartotranskinase. 
252	FUNCTION: deoxyribodipyrimidine photo-lyase. DNA photolyase. photoreactivating enzyme.	FUNCTION: deoxyribodipyrimidine photo-lyase. DNA photolyase. photoreactivating enzyme. A flavoprotein containing a second chromophore group. Catalyzes the reactivation by light of irradiated DNA. A similar reactivation of irradiated RNA is probably due to a separate enzyme.
253	FUNCTION: succinate dehydrogenase. fumarate reductase (menaquinone). succinate dehydrogenase (menaquinone). succinate dehydrogenase (quinone). succinate dehydrogenase (ubiquinone). succinic dehydrogenase.	FUNCTION: succinate dehydrogenase. fumarate reductase (menaquinone). succinate dehydrogenase (menaquinone). succinate dehydrogenase (quinone). succinate dehydrogenase (ubiquinone). succinic dehydrogenase. A complex generally comprising an FAD-containing component that also binds the carboxylate substrate (A subunit), a component that contains three different iron-sulfur centers [2Fe-2S], [4Fe-4S], and [3Fe-4S] (B subunit), and a hydrophobic membrane-anchor component (C, or C and D subunits) that is also the site of the interaction with quinones. The enzyme is found in the inner mitochondrial membrane in eukaryotes and the plasma membrane of bacteria and archaea, with the hydrophilic domain extending into the mitochondrial matrix and the cytoplasm, respectively. Under aerobic conditions the enzyme catalyzes succinate oxidation, a key step in the citric acid (TCA) cycle, transferring the electrons to quinones in the membrane, thus linking the TCA cycle with the aerobic respiratory chain (where it is known as complex II). Under anaerobic conditions the enzyme functions as a fumarate reductase, transferring electrons from the quinol pool to fumarate, and participating in anaerobic respiration with fumarate as the terminal electron acceptor. The enzyme interacts with the quinone produced by the organism, such as ubiquinone, menaquinone, caldariellaquinone, thermoplasmaquinone, rhodoquinone etc. Some of the enzymes contain two heme subunits in their membrane anchor subunit. These enzymes catalyze an electrogenic reaction and are thus classified as EC 7.1.1.12.
