id	EC_number	hier1	hier2	hier3	name	comment	alter_name
129	2.7.7.n1	Transferases.	Transferring phosphorus-containing groups.	Nucleotidyltransferases.	protein adenylyltransferase.	The enzyme, commonly referred to as AMPylase, transfers an adenylyl (adenosine 5'-phosphate) group from ATP to L-serine, L-threonine, and L-tyrosine residues in its target protein substrates. AMPylation is found in both prokaryotes and eukaryotes. In bacteria AMPylases are abundant enzymes that either regulate the function of endogenous bacterial proteins or are translocated into host cells to hijack host cell signaling processes. Metazoans AMPylases are either enzymes containing a conserved Fic domain that primarily modify the ER-resident chaperone BiP, or mitochondrial selenocysteine-containing proteins (SelO) involved in redox signaling.	AMPylase.
130	5.1.3.13	Isomerases.	Racemases and epimerases.	Acting on carbohydrates and derivatives.	dTDP-4-dehydrorhamnose 3,5-epimerase.	Occurs in a complex with EC 1.1.1.133.	dTDP-4-keto-6-deoxyglucose 3,5-epimerase. dTDP-L-rhamnose synthetase. thymidine diphospho-4-ketorhamnose 3,5-epimerase.
131	3.4.11.1	Hydrolases.	Acting on peptide bonds (peptidases).	Aminopeptidases.	leucyl aminopeptidase.	Is activated by heavy metal ions. Belongs to peptidase family M17. Formerly EC 3.4.1.1.	cytosol aminopeptidase. leucine aminopeptidase. peptidase S.
132	4.1.3.27	Lyases.	Carbon-carbon lyases.	Oxo-acid-lyases.	anthranilate synthase.	The enzyme, found in plants, fungi and bacteria is composed of two parts, a glutaminase subunit and a lyase subunit. The glutaminase produces ammonia that is channeled to the lyase subunit. In the absence of the glutaminase, the lyase can convert ammonia and chorismate into anthranilate. In some organisms, this enzyme is part of a multifunctional protein, together with one or more other components of the system for the biosynthesis of tryptophan (EC 2.4.2.18, EC 4.1.1.48, EC 4.2.1.20, and EC 5.3.1.24).	
133	2.5.1.10	Transferases.	Transferring alkyl or aryl groups, other than methyl groups.	Transferring alkyl or aryl groups, other than methyl groups.	(2E,6E)-farnesyl diphosphate synthase.	Some forms of this enzyme will also use dimethylallyl diphosphate as a substrate. The enzyme will not accept larger prenyl diphosphates as efficient donors.	farnesyl-diphosphate synthase. farnesyl pyrophosphate synthetase. FPP synthetase. geranyltranstransferase.
134	1.1.1.267	Oxidoreductases.	Acting on the CH-OH group of donors.	With NAD(+) or NADP(+) as acceptor.	1-deoxy-D-xylulose-5-phosphate reductoisomerase.	The enzyme from several eubacteria, including Escherichia coli, forms part of an alternative nonmevalonate pathway for terpenoid biosynthesis. The mechanism has been shown to be a retroaldol/aldol reaction.	1-deoxyxylulose-5-phosphate reductoisomerase. DXP-reductoisomerase.
135	3.8.1.5	Hydrolases.	Acting on halide bonds.	In C-halide compounds.	haloalkane dehalogenase.	Acts on a wide range of 1-haloalkanes, haloalcohols, haloalkenes and some haloaromatic compounds.	1-chlorohexane halidohydrolase.
136	3.2.1.18	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	exo-alpha-sialidase.	The enzyme does not act on 4-O-acetylated sialic acids. An endo-alpha-sialidase activity is listed as EC 3.2.1.129. See also EC 4.2.2.15.	alpha-neuraminidase. N-acylneuraminate glycohydrolase. neuraminidase. sialidase.
137	3.4.21.21	Hydrolases.	Acting on peptide bonds (peptidases).	Serine endopeptidases.	coagulation factor VIIa.	Formed from the precursor factor VII. The cattle enzyme is more readily inhibited by diisopropyl fluorophosphate than the human. Belongs to peptidase family S1.	
138	3.2.1.21	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	beta-glucosidase.	Wide specificity for beta-D-glucosides. Some examples also hydrolyze one or more of the following: beta-D- galactosides, alpha-L-arabinosides, beta-D-xylosides and beta-D- fucosides.	amygdalase. beta-D-glucoside glucohydrolase. cellobiase. gentobiase.
139	3.1.4.53	Hydrolases.	Acting on ester bonds.	Phosphoric diester hydrolases.	3',5'-cyclic-AMP phosphodiesterase.	Specific for 3',5'-cAMP and does not hydrolyze other nucleoside 3',5'-cyclic phosphates such as cGMP (cf. EC 3.1.4.17 and EC 3.1.4.35). It is involved in modulation of the levels of cAMP, which is a mediator in the processes of cell transformation and proliferation. Formerly EC 3.1.4.n1.	cAMP-specific PDE. cAMP-specific phosphodiesterase.
140	1.1.1.169	Oxidoreductases.	Acting on the CH-OH group of donors.	With NAD(+) or NADP(+) as acceptor.	2-dehydropantoate 2-reductase.		ketopantoate reductase. ketopantoic acid reductase. KPA reductase.
141	3.6.1.1	Hydrolases.	Acting on acid anhydrides.	In phosphorus-containing anhydrides.	inorganic diphosphatase.	Specificity varies with the source and with the activating metal ion. The enzyme from some sources may be identical with EC 3.1.3.1 or EC 3.1.3.9. Cf. EC 7.1.3.1.	diphosphate phosphohydrolase. inorganic pyrophosphatase. pyrophosphate phosphohydrolase.
142	4.1.1.50	Lyases.	Carbon-carbon lyases.	Carboxy-lyases.	adenosylmethionine decarboxylase.		S-adenosyl-L-methionine carboxy-lyase. S-adenosyl-L-methionine decarboxylase.
143	1.3.1.9	Oxidoreductases.	Acting on the CH-CH group of donors.	With NAD(+) or NADP(+) as acceptor.	enoyl-[acyl-carrier-protein] reductase (NADH).	The enzyme catalyzes an essential step in fatty acid biosynthesis, the reduction of the 2,3-double bond in enoyl-acyl-[acyl-carrier- protein] derivatives of the elongating fatty acid moiety. The enzyme from the bacterium Escherichia coli accepts substrates with carbon chain length from 4 to 18. The FAS-I enzyme from the bacterium Mycobacterium tuberculosis prefers substrates with carbon chain length from 12 to 24 carbons.	enoyl-ACP reductase. NADH-enoyl acyl carrier protein reductase. NADH-specific enoyl-ACP reductase.
144	6.1.1.2	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	tryptophan--tRNA ligase.		L-tryptophan-tRNA(Trp) ligase (AMP-forming). TrpRS. tryptophan translase. tryptophanyl ribonucleic synthetase. tryptophanyl-transfer ribonucleate synthetase. tryptophanyl-transfer ribonucleic acid synthetase. tryptophanyl-transfer ribonucleic synthetase. tryptophanyl-transfer RNA synthetase. tryptophanyl-tRNA synthase. tryptophanyl-tRNA synthetase.
145	3.5.3.1	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In linear amidines.	arginase.	Also hydrolyzes alpha-N-substituted L-arginines and canavanine.	arginine amidinase. canavanase.
146	3.2.1.81	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	beta-agarase.	Also acts on porphyran, but more slowly. Cleaves the beta-(1->4) linkages of agarose in a random manner with retention of the anomeric-bond configuration, producing beta-anomers that give rise progressively to alpha-anomers when mutarotation takes place. The end products of hydrolysis are neoagarotetraose and neoagarohexaose in the case of AgaA from the marine bacterium Zobellia galactanivorans, and neoagarotetraose and neoagarobiose in the case of AgaB.	agarase. endo-beta-agarase.
147	4.1.1.39	Lyases.	Carbon-carbon lyases.	Carboxy-lyases.	ribulose-bisphosphate carboxylase.	Will utilize O2 instead of CO2, forming 3-phospho-D-glycerate and 2-phosphoglycolate.	carboxydismutase. diphosphoribulose carboxylase. D-ribulose-1,5-bisphosphate carboxylase. D-ribulose 1,5-diphosphate carboxylase. ribulose 1,5-bisphosphate carboxylase. ribulose 1,5-bisphosphate carboxylase/oxygenase. ribulose 1,5-diphosphate carboxylase. ribulose 1,5-diphosphate carboxylase/oxygenase. ribulose bisphosphate carboxylase/oxygenase. ribulose diphosphate carboxylase. ribulose diphosphate carboxylase/oxygenase. RuBisCO. RuBP carboxylase.
148	7.2.2.10	Translocases.	Catalysing the translocation of inorganic cations.	Linked to the hydrolysis of a nucleoside triphosphate.	P-type Ca(2+) transporter.	A P-type ATPase that undergoes covalent phosphorylation during the transport cycle. This enzyme family comprises three types of Ca(2+)-transporting enzymes that are found in the plasma membrane, the sarcoplasmic reticulum, in yeast, and in some bacteria. The enzymes from plasma membrane and from yeast have been shown to transport one ion per ATP hydrolyzed whereas those from the sarcoplasmic reticulum transport two ions per ATP hydrolyzed. In muscle cells Ca(2+) is transported from the cytosol into the sarcoplasmic reticulum. Formerly EC 3.6.3.8.	Ca(2+)-transporting ATPase. calcium pump. calcium-translocating P-type ATPase.
149	3.6.4.6	Hydrolases.	Acting on acid anhydrides.	Acting on ATP; involved in cellular and subcellular movement.	vesicle-fusing ATPase.	A large family of ATP-hydrolyzing enzymes involved in the heterotypic fusion of membrane vesicles with target membranes and the homotypic fusion of various membrane compartments. They belong to the AAA-type (ATPase associated with a variety of cell activities) ATPase superfamily. They include peroxin, which apparently is involved in Zellweger's syndrome.	
150	3.1.3.45	Hydrolases.	Acting on ester bonds.	Phosphoric monoester hydrolases.	3-deoxy-manno-octulosonate-8-phosphatase.		
151	3.6.1.32	Hydrolases.	Acting on acid anhydrides.	In phosphorus-containing anhydrides.	Transferred entry: 5.6.1.8.		
152	7.1.1.8	Translocases.	Catalysing the translocation of hydrons.	Hydron translocation or charge separation linked to oxidoreductase reactions.	quinol--cytochrome-c reductase.	The enzyme, often referred to as the cytochrome bc1 complex or complex III, is the third complex in the electron transport chain. It is present in the mitochondria of all aerobic eukaryotes and in the inner membranes of most bacteria. The mammalian enzyme contains cytochromes b-562, b-566 and c1, and a 2-iron ferredoxin. Depending on the organism and physiological conditions, the enzyme extrudes either two or four protons from the cytoplasmic to the non- cytoplasmic compartment (cf. EC 1.6.99.3). Formerly EC 1.10.2.2.	complex III (mitochondrial electron transport). cytochrome bc1 complex. ubiquinol--cytochrome-c reductase. ubiquinone--cytochrome-c oxidoreductase.
153	3.6.5.2	Hydrolases.	Acting on acid anhydrides.	Acting on GTP; involved in cellular and subcellular movement.	small monomeric GTPase.	A family of about 50 enzymes with a molecular mass of 21 kDa that are distantly related to the alpha-subunit of EC 3.6.1.46. Involved in cell-growth regulation (Ras subfamily), membrane vesicle traffic and uncoating (Rab and ARF subfamilies), nuclear protein import (Ran subfamily) and organization of the cytoskeleton (Rho and Rac subfamilies). Formerly EC 3.6.1.47.	
154	3.5.4.4	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In cyclic amidines.	adenosine deaminase.		adenosine aminohydrolase.
155	2.3.2.23	Transferases.	Acyltransferases.	Aminoacyltransferases.	E2 ubiquitin-conjugating enzyme.	The E2 ubiquitin-conjugating enzyme acquires the activated ubquitin from the E1 ubiquitin-activating enzyme (EC 6.2.1.45) and binds it via a transthioesterification reaction to itself. In the human enzyme the catalytic center is located at Cys-87 where ubiquitin is bound via its C-terminal glycine in a thioester linkage. Formerly EC 6.3.2.19.	ubiquitin-carrier-protein E2. ubiquitin-conjugating enzyme E2.
156	2.7.1.71	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	shikimate kinase.		
157	3.6.3.14	Hydrolases.	Acting on acid anhydrides.	Acting on acid anhydrides; catalyzing transmembrane movement of substances.	Transferred entry: 7.1.2.2.		
158	2.6.1.1	Transferases.	Transferring nitrogenous groups.	Transaminases.	aspartate transaminase.	Also acts on L-tyrosine, L-phenylalanine and L-tryptophan. This activity can be formed from EC 2.6.1.57 by controlled proteolysis.	aspartate aminotransferase. glutamic--aspartic transaminase. glutamic--oxaloacetic transaminase. transaminase A.
159	3.4.21.41	Hydrolases.	Acting on peptide bonds (peptidases).	Serine endopeptidases.	complement subcomponent C1r.	Activates C1s by proteolytic cleavage so that it can, in turn, activate C2 and C4. Activated from proenzyme C1r in plasma by autocatalytic mechanism during activation of the complement system by the 'classical' route. Belongs to peptidase family S1.	
160	4.1.1.19	Lyases.	Carbon-carbon lyases.	Carboxy-lyases.	arginine decarboxylase.		L-arginine carboxy-lyase.
161	2.4.2.18	Transferases.	Glycosyltransferases.	Pentosyltransferases.	anthranilate phosphoribosyltransferase.	In some organisms, this enzyme is part of a multifunctional protein together with one or more components of the system for biosynthesis of tryptophan (EC 4.1.1.48, EC 4.1.3.27, EC 4.2.1.20 and EC 5.3.1.24).	phosphoribosyl-anthranilate diphosphorylase. phosphoribosyl-anthranilate pyrophosphorylase.
162	1.15.1.1	Oxidoreductases.	Acting on superoxide as acceptor.	Acting on superoxide as acceptor.	superoxide dismutase.		
163	6.1.1.12	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	aspartate--tRNA ligase.		aspartic acid translase. aspartyl-tRNA synthetase.
164	2.7.11.25	Transferases.	Transferring phosphorus-containing groups.	Protein-serine/threonine kinases.	mitogen-activated protein kinase kinase kinase.	This enzyme phosphorylates and activates its downstream protein kinase, EC 2.7.12.2, but requires MAPKKKK for activation. Some members of this family can be activated by p21-activated kinases (PAK/STE20) or Ras. While c-Raf and c-Mos activate the classical MAPK/ERK pathway, MEKK1 and MEKK2 preferentially activate the c-Jun N-terminal protein kinase(JNK)/stress-activated protein kinase (SAPK) pathway. Mitogen-activated protein kinase (MAPK) signal transduction pathways are among the most widespread mechanisms of cellular regulation. Mammalian MAPK pathways can be recruited by a wide variety of stimuli including hormones (e.g. insulin and growth hormone), mitogens (e.g. epidermal growth factor and platelet-derived growth factor), vasoactive peptides (e.g. angiotensin-II and endothelin), inflammatory cytokines of the tumor necrosis factor (TNF) family and environmental stresses such as osmotic shock, ionizing radiation and ischemeic injury. Formerly EC 2.7.1.37.	MAP3K. MAP kinase kinase kinase. MAPKKK. MEKK. MEK kinase. MLK-like mitogen-activated protein triple kinase. MLTK.
165	4.3.3.7	Lyases.	Carbon-nitrogen lyases.	Amine-lyases.	4-hydroxy-tetrahydrodipicolinate synthase.	The reaction can be divided into three consecutive steps: Schiff base formation with pyruvate, the addition of L-aspartate-semialdehyde, and finally transimination leading to cyclization with simultaneous dissociation of the product. The product of the enzyme was initially thought to be (S)-2,3- dihydrodipicolinate, and the enzyme was classified accordingly as EC 4.2.1.52. Later studies of the enzyme from the bacterium Escherichia coli have suggested that the actual product of the enzyme is (2S,4S)-4-hydroxy- 2,3,4,5-tetrahydrodipicolinate, and thus the enzyme has been reclassified as 4-hydroxy-tetrahydrodipicolinate synthase. However, the identity of the product is still controversial, as more recently it has been suggested that it may be (S)-2,3- dihydrodipicolinate after all. Formerly EC 4.2.1.52.	DHDPS. dihydrodipicolinate synthetase.
166	1.5.1.3	Oxidoreductases.	Acting on the CH-NH group of donors.	With NAD(+) or NADP(+) as acceptor.	dihydrofolate reductase.	The enzyme from animals and some micro-organisms also slowly reduces folate to 5,6,7,8-tetrahydrofolate. Formerly EC 1.5.1.4.	tetrahydrofolate dehydrogenase.
167	6.1.1.4	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	leucine--tRNA ligase.		leucine translase. leucyl-tRNA synthetase.
168	3.6.1.13	Hydrolases.	Acting on acid anhydrides.	In phosphorus-containing anhydrides.	ADP-ribose diphosphatase.		adenosine diphosphoribose pyrophosphatase. ADP-ribose phosphohydrolase. ADP-ribose pyrophosphatase. ADP-ribose ribophosphohydrolase. ADPR-PPase.
169	2.7.2.1	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with a carboxy group as acceptor.	acetate kinase.	While purified enzyme from Escherichia coli is specific for acetate, others have found that the enzyme can also use propanoate as a substrate, but more slowly. Acetate can be converted into the key metabolic intermediate acetyl- CoA by coupling acetate kinase with EC 2.3.1.8. Both this enzyme and EC 2.7.2.15 play important roles in the production of propanoate.	acetate kinase (phosphorylating). acetic kinase. acetokinase. AK.
170	4.1.2.25	Lyases.	Carbon-carbon lyases.	Aldehyde-lyases.	dihydroneopterin aldolase.	The enzyme participates in folate (in bacteria, plants and fungi) and methanopterin (in archaea) biosynthesis. The enzymes from the bacterium Escherichia coli and the plant Arabidopsis thaliana also catalyze the epimerisation of the 2' hydroxy-group (EC 5.1.99.8). The enzyme from the bacterium Mycobacterium tuberculosis is trifunctional and also catalyzes EC 5.1.99.8 and EC 1.13.11.81. The enzyme from the yeast Saccharomyces cerevisiae also catalyzes the two subsequent steps in the folate biosynthesis pathway - EC 2.7.6.3 and EC 2.5.1.15.	2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8- dihydropteridine glycolaldehyde-lyase. 7,8-dihydroneopterin aldolase.
171	4.6.1.16	Lyases.	Phosphorus-oxygen lyases.	Phosphorus-oxygen lyases.	tRNA-intron lyase.	The enzyme catalyzes the final stage in the maturation of tRNA molecules. Formerly EC 3.1.27.9.	tRNA splicing endonuclease.
172	2.1.1.13	Transferases.	Transferring one-carbon groups.	Methyltransferases.	methionine synthase.	The enzyme becomes inactivated occasionally during its cycle by oxidation of Co(I) to Co(II). Reactivation by reductive methylation is catalyzed by the enzyme itself, with S-adenosyl-L-methionine as the methyl donor and a reducing system. For the mammalian enzyme, the reducing system involves NADPH and EC 1.16.1.8. In bacteria, the reducing agent is flavodoxin, and no further catalyst is needed (the flavodoxin is kept in the reduced state by NADPH and EC 1.18.1.2). Acts on the monoglutamate as well as the triglutamate folate, in contrast with EC 2.1.1.14, which acts only on the triglutamate.	5-methyltetrahydrofolate--homocysteine S-methyltransferase. 5-methyltetrahydrofolate--homocysteine transmethylase. B12 N(5)-methyltetrahydrofolate homocysteine methyltransferase. cobalamin-dependent methionine synthase. methionine synthase (cobalamin-dependent). methionine synthetase. methyltetrahydrofolate--homocysteine vitamin B12 methyltransferase. N(5)-methyltetrahydrofolate--homocysteine cobalamin methyltransferase. N(5)-methyltetrahydrofolate methyltransferase. N(5)-methyltetrahydrofolic--homocysteine vitamin B12 transmethylase. N-methyltetrahydrofolate:L-homocysteine methyltransferase. tetrahydrofolate methyltransferase. tetrahydropteroylglutamate methyltransferase. tetrahydropteroylglutamic methyltransferase. vitamin B12 methyltransferase.
173	2.7.4.9	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with a phosphate group as acceptor.	dTMP kinase.		thymidylate kinase. thymidylic acid kinase. TMPK.
174	4.1.2.13	Lyases.	Carbon-carbon lyases.	Aldehyde-lyases.	fructose-bisphosphate aldolase.	Also acts on (3S,4R)-ketose 1-phosphates. The enzymes increase electron-attraction by the carbonyl group, some (Class I) forming a protonated imine with it, others (Class II), mainly of microbial origin, polarizing it with a metal ion, e.g. zinc. Formerly EC 4.1.2.7.	aldolase. D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase. fructose-1,6-bisphosphate triosephosphate-lyase.
175	3.1.1.4	Hydrolases.	Acting on ester bonds.	Carboxylic ester hydrolases.	phospholipase A2.	Also acts on phosphatidylethanolamine, choline plasmalogen and phosphatides, removing the fatty acid attached to the 2-position.	lecithinase A. phosphatidase. phosphatidolipase. phosphatidylcholine 2-acylhydrolase.
176	3.2.1.52	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	beta-N-acetylhexosaminidase.	Acts on N-acetylglucosides and N-acetylgalactosides. Formerly EC 3.2.1.29 and EC 3.2.1.30.	beta-hexosaminidase. hexosaminidase. N-acetyl-beta-glucosaminidase.
177	1.1.1.3	Oxidoreductases.	Acting on the CH-OH group of donors.	With NAD(+) or NADP(+) as acceptor.	homoserine dehydrogenase.	The enzyme from Saccharomyces cerevisiae acts most rapidly with NAD(+); the Neurospora enzyme with NADP(+). The enzyme from Escherichia coli is a multifunctional protein, which also catalyzes the reaction of EC 2.7.2.4.	
178	4.2.1.1	Lyases.	Carbon-oxygen lyases.	Hydro-lyases.	carbonic anhydrase.	The enzyme catalyzes the reversible hydration of gaseous CO2 to carbonic acid, which spontaneously converts to hydrogencarbonate under neutral pH. It is widespread and found in archaea, bacteria, and eukaryotes. Three distinct classes exist, and appear to have evolved independently.	carbonate dehydratase. carbonate hydro-lyase. carbonic dehydratase.
179	3.4.17.19	Hydrolases.	Acting on peptide bonds (peptidases).	Metallocarboxypeptidases.	carboxypeptidase Taq.	Most active at 80 degrees Celsius. Belongs to peptidase family M32.	carboxypeptidase 1.
180	2.3.2.26	Transferases.	Acyltransferases.	Aminoacyltransferases.	HECT-type E3 ubiquitin transferase.	In the first step the enzyme transfers ubiquitin from the E2 ubiquitin-conjugating enzyme (EC 2.3.2.23) to a cysteine residue in its HECT domain (which is located in the C-terminal region), forming a thioester bond. In a subsequent step the enzyme transfers the ubiquitin to an acceptor protein, resulting in the formation of an isopeptide bond between the C-terminal glycine residue of ubiquitin and the epsilon- amino group of an L-lysine residue of the acceptor protein. Cf. EC 2.3.2.27 and EC 2.3.2.31.	HECT E3 ligase. ubiquitin transferase HECT-E3.
181	3.2.1.24	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	alpha-mannosidase.	Also hydrolyzes alpha-D-lyxosides and heptopyranosides with the same configuration at C-2, C-3 and C-4 as mannose.	
182	3.5.2.17	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In cyclic amides.	hydroxyisourate hydrolase.	The reaction is the first stage in the conversion of 5-hydroxyisourate into (S)-allantoin. This reaction will also occur spontaneously, but more slowly.	5-hydroxyisourate hydrolase. HIUHase.
183	4.1.1.33	Lyases.	Carbon-carbon lyases.	Carboxy-lyases.	diphosphomevalonate decarboxylase.		mevalonate diphosphate decarboxylase. mevalonate pyrophosphate decarboxylase.
184	3.1.21.2	Hydrolases.	Acting on ester bonds.	Endodeoxyribonucleases producing 5'-phosphomonoesters.	deoxyribonuclease IV.	The enzyme is an apurinic/apyrimidinic (AP) site endonuclease that primes DNA repair synthesis at AP sites. It specifically cleaves the DNA backbone at AP sites and also removes 3' DNA-blocking groups such as 3' phosphates, 3' phosphoglycolates, and 3' alpha,beta-unsaturated aldehydes that arise from oxidative base damage and the activity of combined glycosylase/lyase enzymes. It is also the only known repair enzyme that is able to cleave the DNA backbone 5' of the oxidative lesion alpha-deoxyadenosine. The enzyme has a strong preference for single-stranded DNA. Formerly EC 3.1.4.30.	deoxyribonuclease IV (phage T4-induced). endodeoxyribonuclease IV (phage T4-induced). endonuclease II. endonuclease IV.
185	3.1.3.11	Hydrolases.	Acting on ester bonds.	Phosphoric monoester hydrolases.	fructose-bisphosphatase.	The animal enzyme also acts on sedoheptulose 1,7-bisphosphate.	fructose 1,6-bisphosphatase. hexose diphosphatase.
186	5.1.1.1	Isomerases.	Racemases and epimerases.	Acting on amino acids and derivatives.	alanine racemase.		
187	3.1.4.17	Hydrolases.	Acting on ester bonds.	Phosphoric diester hydrolases.	3',5'-cyclic-nucleotide phosphodiesterase.	Acts on 3',5'-cyclic AMP, 3',5'-cyclic dAMP, 3',5'-cyclic IMP, 3',5'-cyclic GMP and 3',5'-cyclic CMP.	cyclic AMP phosphodiesterase.
188	4.3.2.2	Lyases.	Carbon-nitrogen lyases.	Lyases acting on amides, amidines, etc.	adenylosuccinate lyase.	Also acts on 1-(5-phosphoribosyl)-4-(N-succinocarboxamide)-5- aminoimidazole.	adenylosuccinase. succino AMP-lyase.
189	5.3.3.2	Isomerases.	Intramolecular oxidoreductases.	Transposing C=C bonds.	isopentenyl-diphosphate Delta-isomerase.		IPP isomerase. isopentenylpyrophosphate Delta-isomerase. isopentenylpyrophosphate isomerase. methylbutenylpyrophosphate isomerase.
190	3.4.25.1	Hydrolases.	Acting on peptide bonds (peptidases).	Threonine endopeptidases.	proteasome endopeptidase complex.	A 20-S protein composed of 28 subunits arranged in four rings of seven. The outer rings are composed of alpha subunits, but the beta subunits forming the inner rings are responsible for peptidase activity. In eukaryotic organisms there are up to seven different types of beta subunits, three of which may carry the N-terminal threonine residues that are the nucleophiles in catalysis, and show different specificities. The molecule is barrel-shaped, and the active sites are on the inner surfaces. Terminal apertures restrict access of substrates to the active sites. Inhibited by mercurial reagents and some inhibitors of serine endopeptidases. Belongs to peptidase family T1. Formerly EC 3.4.22.21, EC 3.4.24.5 and EC 3.4.99.46.	ingensin. Lens neutral proteinase. macropain. multicatalytic endopeptidase complex. multicatalytic proteinase (complex). prosome. proteasome.
191	3.2.1.22	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	alpha-galactosidase.	Also hydrolyzes alpha-D-fucosides.	melibiase.
192	3.2.1.73	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	licheninase.	Acts on lichenin and cereal beta-D-glucans, but not on beta-D-glucans containing only 1,3- or 1,4-bonds.	1,3-1,4-beta-D-glucan 4-glucanohydrolase. beta-glucanase. endo-beta-1,3-1,4 glucanase. lichenase. mixed linkage beta-glucanase.
193	1.14.13.25	Oxidoreductases.	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.	With NADH or NADPH as one donor, and incorporation of one atom of oxygen.	methane monooxygenase (soluble).	The enzyme is soluble, in contrast to the particulate enzyme, EC 1.14.18.3. Broad specificity; many alkanes can be hydroxylated, and alkenes are converted into the corresponding epoxides; CO is oxidized to CO2, ammonia is oxidized to hydroxylamine, and some aromatic compounds and cyclic alkanes can also be hydroxylated, but more slowly.	methane hydroxylase.
194	2.3.1.129	Transferases.	Acyltransferases.	Transferring groups other than amino-acyl groups.	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase.	Involved with EC 2.4.1.182 and EC 2.7.1.130 in the biosynthesis of the phosphorylated glycolipid, lipid A, in the outer membrane of Gram-negative bacteria.	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase. UDP-N-acetylglucosamine acyltransferase.
195	2.3.2.27	Transferases.	Acyltransferases.	Aminoacyltransferases.	RING-type E3 ubiquitin transferase.	RING E3 ubiquitin transferases serve as mediators bringing the ubiquitin-charged E2 ubiquitin-conjugating enzyme (EC 2.3.2.23) and an acceptor protein together to enable the direct transfer of ubiquitin through the formation of an isopeptide bond between the C-terminal glycine residue of ubiquitin and the epsilon-amino group of an L-lysine residue of the acceptor protein. Unlike EC 2.3.2.26 the RING-E3 domain does not form a catalytic thioester intermediate with ubiquitin. Many members of the RING-type E3 ubiquitin transferase family are not able to bind a substrate directly, and form a complex with a cullin scaffold protein and a substrate recognition module (the complexes are named CRL for Cullin-RING-Ligase). In these complexes, the RING-type E3 ubiquitin transferase provides an additional function, mediating the transfer of a NEDD8 protein from a dedicated E2 carrier to the cullin protein (see EC 2.3.2.32). Cf. EC 2.3.2.31. Formerly EC 6.3.2.19 and EC 6.3.2.21.	RING E3 ligase. ubiquitin transferase RING E3.
196	7.1.1.2	Translocases.	Catalysing the translocation of hydrons.	Hydron translocation or charge separation linked to oxidoreductase reactions.	NADH:ubiquinone reductase (H(+)-translocating).	The enzyme is a very large complex that participates in electron transfer chains of mitochondria and aerobic bacteria. The mitochondrial enzyme transfers electrons from NADH to the ubiquinone pool. The cyanobacterial enzyme prefers NADPH, reduces plastoquinone, and also participates in reversed electron transport that results in the reduction of NAD(P)(+) to NAD(P)H. Formerly EC 1.6.5.3.	coenzyme Q reductase. complex I (electron transport chain). complex I (mitochondrial electron transport). dihydronicotinamide adenine dinucleotide-coenzyme Q reductase. DPNH-coenzyme Q reductase. DPNH-ubiquinone reductase. electron transfer complex I. mitochondrial electron transport complex 1. mitochondrial electron transport complex I. NADH coenzyme Q1 reductase. NADH-coenzyme Q reductase. NADH-CoQ oxidoreductase. NADH-CoQ reductase. NADH dehydrogenase (ubiquinone). NADH-ubiquinone oxidoreductase. NADH-ubiquinone reductase. reduced nicotinamide adenine dinucleotide-coenzyme Q reductase. ubiquinone reductase.
